target_room,point_type,point_id,observed_room,ssid,bssid,band,channel,rssi_mean,rssi_median,rssi_std,n_samples,is_self_ap
401,공유기,401_공유기,401,wi_dje_401,06:29:D5:47:E3:30,2.4GHz,1,-25.0,-25.0,2.3094010767585034,4,True
401,공유기,401_공유기,401,wi_dje_401,0A:29:D5:47:E3:30,5GHz,149,-33.25,-32.5,2.6299556396765835,4,True
401,공유기,401_공유기,402,wi_dje_402,06:29:D5:47:E3:20,2.4GHz,1,-66.66666666666667,-67.0,0.5773502691896278,3,False
401,공유기,401_공유기,402,wi_dje_402,0A:29:D5:47:E3:20,5GHz,52,-74.25,-73.5,2.6299556396765835,4,False
401,문앞,401_문앞,401,wi_dje_401,06:29:D5:47:E3:30,2.4GHz,1,-51.75,-52.0,0.5,4,True
401,문앞,401_문앞,401,wi_dje_401,0A:29:D5:47:E3:30,5GHz,149,-56.75,-56.0,2.9860788111948193,4,True
401,문앞,401_문앞,402,wi_dje_402,06:29:D5:47:E3:20,2.4GHz,1,-68.5,-67.0,3.0,4,False
401,문앞,401_문앞,402,wi_dje_402,0A:29:D5:47:E3:20,5GHz,52,-69.75,-70.0,2.0615528128088303,4,False
401,문앞,401_문앞,403,wi_dje_403,06:29:D5:47:E3:10,2.4GHz,1,-90.0,-90.0,0.0,2,False
401,벽,401_벽,401,wi_dje_401,06:29:D5:47:E3:30,2.4GHz,1,-36.75,-36.5,0.9574271077563378,4,True
401,벽,401_벽,401,wi_dje_401,0A:29:D5:47:E3:30,5GHz,149,-45.75,-46.5,2.629955639676582,4,True
401,벽,401_벽,402,wi_dje_402,06:29:D5:47:E3:20,2.4GHz,1,-69.5,-69.5,4.041451884327382,4,False
401,벽,401_벽,402,wi_dje_402,0A:29:D5:47:E3:20,5GHz,52,-75.75,-75.5,0.9574271077563362,4,False
402,공유기,402_공유기,401,wi_dje_401,06:29:D5:47:E3:30,2.4GHz,1,-68.8,-69.0,0.44721359549995915,5,False
402,공유기,402_공유기,401,wi_dje_401,0A:29:D5:47:E3:30,5GHz,149,-80.2,-80.0,1.3038404810405302,5,False
402,공유기,402_공유기,402,wi_dje_402,06:29:D5:47:E3:20,2.4GHz,1,-22.6,-23.0,0.5477225575051664,5,True
402,공유기,402_공유기,402,wi_dje_402,0A:29:D5:47:E3:20,5GHz,52,-26.2,-26.0,0.44721359549995815,5,True
402,공유기,402_공유기,403,wi_dje_403,0A:29:D5:47:E3:10,5GHz,116,-91.0,-91.0,0.0,4,False
402,문앞,402_문앞,401,wi_dje_401,06:29:D5:47:E3:30,2.4GHz,1,-63.4,-61.0,3.361547262794322,5,False
402,문앞,402_문앞,401,wi_dje_401,0A:29:D5:47:E3:30,5GHz,149,-75.2,-75.0,2.6832815729997463,5,False
402,문앞,402_문앞,402,wi_dje_402,06:29:D5:47:E3:20,2.4GHz,1,-48.0,-45.0,4.58257569495584,5,True
402,문앞,402_문앞,402,wi_dje_402,0A:29:D5:47:E3:20,5GHz,52,-47.0,-47.0,2.1213203435596433,5,True
402,문앞,402_문앞,403,wi_dje_403,06:29:D5:47:E3:10,2.4GHz,1,-76.0,-76.0,,1,False
402,문앞,402_문앞,403,wi_dje_403,0A:29:D5:47:E3:10,5GHz,116,-88.0,-88.0,0.0,5,False
402,문앞,402_문앞,404,wi_dje_404,06:29:D5:47:EF:E0,2.4GHz,1,-90.0,-90.0,,1,False
402,문앞,402_문앞,405,wi_dje_405,06:29:D5:47:DF:20,2.4GHz,1,-95.0,-95.0,0.0,5,False
402,문앞,402_문앞,405,wi_dje_405,0A:29:D5:47:DF:20,5GHz,149,-91.0,-91.0,,1,False
402,벽,402_벽,401,wi_dje_401,06:29:D5:47:E3:30,2.4GHz,1,-69.0,-69.0,0.0,4,False
402,벽,402_벽,401,wi_dje_401,0A:29:D5:47:E3:30,5GHz,149,-80.0,-80.0,1.8257418583505518,4,False
402,벽,402_벽,402,wi_dje_402,06:29:D5:47:E3:20,2.4GHz,1,-45.25,-45.0,0.4999999999999994,4,True
402,벽,402_벽,402,wi_dje_402,0A:29:D5:47:E3:20,5GHz,52,-47.0,-47.0,0.0,4,True
402,벽,402_벽,403,wi_dje_403,0A:29:D5:47:E3:10,5GHz,116,-91.0,-91.0,0.0,4,False
402,벽,402_벽,404,wi_dje_404,06:29:D5:47:EF:E0,2.4GHz,1,-90.0,-90.0,0.0,4,False
402,복도,402_복도,401,wi_dje_401,06:29:D5:47:E3:30,2.4GHz,1,-74.0,-74.0,0.0,5,False
402,복도,402_복도,401,wi_dje_401,0A:29:D5:47:E3:30,5GHz,149,-78.8,-79.0,1.4832396974191335,5,False
402,복도,402_복도,402,wi_dje_402,06:29:D5:47:E3:20,2.4GHz,1,-49.2,-49.0,1.7888543819998317,5,True
402,복도,402_복도,402,wi_dje_402,0A:29:D5:47:E3:20,5GHz,52,-57.0,-57.0,1.8708286933869709,5,True
402,복도,402_복도,403,wi_dje_403,0A:29:D5:47:E3:10,5GHz,116,-82.2,-81.0,1.7888543819998322,5,False
402,복도,402_복도,404,wi_dje_404,06:29:D5:47:EF:E0,2.4GHz,1,-75.0,-75.0,0.0,2,False
402,복도,402_복도,404,wi_dje_404,0A:29:D5:47:EF:E0,5GHz,116,-86.6,-87.0,1.1401754250991383,5,False
402,복도,402_복도,405,wi_dje_405,0A:29:D5:47:DF:20,5GHz,149,-90.5,-90.5,0.5773502691896257,4,False
403,공유기,403_공유기,402,wi_dje_402,0A:29:D5:47:E3:20,5GHz,52,-89.0,-87.0,2.7386127875258306,5,False
403,공유기,403_공유기,403,wi_dje_403,06:29:D5:47:E3:10,2.4GHz,1,-22.2,-23.0,1.7888543819998315,5,True
403,공유기,403_공유기,403,wi_dje_403,0A:29:D5:47:E3:10,5GHz,116,-31.0,-31.0,0.7071067811865476,5,True
403,공유기,403_공유기,404,wi_dje_404,0A:29:D5:47:EF:E0,5GHz,116,-75.0,-74.0,1.7320508075688765,5,False
403,문앞,403_문앞,402,wi_dje_402,0A:29:D5:47:E3:20,5GHz,52,-91.0,-91.0,0.7071067811865476,5,False
403,문앞,403_문앞,403,wi_dje_403,06:29:D5:47:E3:10,2.4GHz,1,-45.0,-45.0,,1,True
403,문앞,403_문앞,403,wi_dje_403,0A:29:D5:47:E3:10,5GHz,116,-47.4,-47.0,2.6076809620810604,5,True
403,문앞,403_문앞,404,wi_dje_404,0A:29:D5:47:EF:E0,5GHz,116,-77.0,-78.0,1.9999999999999987,4,False
403,벽,403_벽,402,wi_dje_402,0A:29:D5:47:E3:20,5GHz,52,-89.0,-88.0,1.8708286933869698,5,False
403,벽,403_벽,403,wi_dje_403,06:29:D5:47:E3:10,2.4GHz,1,-39.0,-38.0,1.8708286933869698,5,True
403,벽,403_벽,403,wi_dje_403,0A:29:D5:47:E3:10,5GHz,116,-44.4,-45.0,2.792848008753789,5,True
403,벽,403_벽,404,wi_dje_404,0A:29:D5:47:EF:E0,5GHz,116,-74.6,-75.0,2.302172886644268,5,False
403,복도,403_복도,401,wi_dje_401,06:29:D5:47:E3:30,2.4GHz,1,-83.0,-83.0,0.0,5,False
403,복도,403_복도,401,wi_dje_401,0A:29:D5:47:E3:30,5GHz,149,-83.8,-79.0,6.572670690061993,5,False
403,복도,403_복도,402,wi_dje_402,06:29:D5:47:E3:20,2.4GHz,1,-73.2,-73.0,0.44721359549995715,5,False
403,복도,403_복도,402,wi_dje_402,0A:29:D5:47:E3:20,5GHz,52,-78.2,-78.0,4.919349550499538,5,False
403,복도,403_복도,403,wi_dje_403,06:29:D5:47:E3:10,2.4GHz,1,-53.0,-53.0,0.0,5,True
403,복도,403_복도,403,wi_dje_403,0A:29:D5:47:E3:10,5GHz,116,-61.6,-62.0,2.5099800796022276,5,True
403,복도,403_복도,404,wi_dje_404,06:29:D5:47:EF:E0,2.4GHz,1,-67.0,-67.0,0.0,5,False
403,복도,403_복도,404,wi_dje_404,0A:29:D5:47:EF:E0,5GHz,116,-74.4,-75.0,2.60768096208106,5,False
403,복도,403_복도,405,wi_dje_405,06:29:D5:47:DF:20,2.4GHz,1,-80.0,-80.0,0.0,5,False
403,복도,403_복도,405,wi_dje_405,0A:29:D5:47:DF:20,5GHz,149,-85.2,-85.0,0.44721359549995715,5,False
404,공유기,404_공유기,403,wi_dje_403,0A:29:D5:47:E3:10,5GHz,116,-75.4,-75.0,1.6733200530681502,5,False
404,공유기,404_공유기,404,wi_dje_404,06:29:D5:47:EF:E0,2.4GHz,1,-29.75,-30.0,1.5,4,True
404,공유기,404_공유기,404,wi_dje_404,0A:29:D5:47:EF:E0,5GHz,116,-30.2,-30.0,1.7888543819998315,5,True
404,공유기,404_공유기,405,wi_dje_405,0A:29:D5:47:DF:20,5GHz,149,-76.2,-76.0,4.32434966208793,5,False
404,문앞,404_문앞,403,wi_dje_403,06:29:D5:47:E3:10,2.4GHz,1,-62.0,-62.0,1.0,3,False
404,문앞,404_문앞,403,wi_dje_403,0A:29:D5:47:E3:10,5GHz,116,-72.0,-71.0,1.8708286933869698,5,False
404,문앞,404_문앞,404,wi_dje_404,06:29:D5:47:EF:E0,2.4GHz,1,-41.8,-41.0,1.7888543819998322,5,True
404,문앞,404_문앞,404,wi_dje_404,0A:29:D5:47:EF:E0,5GHz,116,-54.4,-53.0,1.9493588689617933,5,True
404,문앞,404_문앞,405,wi_dje_405,06:29:D5:47:DF:20,2.4GHz,1,-70.0,-70.0,0.0,5,False
404,문앞,404_문앞,405,wi_dje_405,0A:29:D5:47:DF:20,5GHz,149,-79.2,-79.0,0.44721359549995815,5,False
404,벽,404_벽,403,wi_dje_403,06:29:D5:47:E3:10,2.4GHz,1,-64.0,-64.0,0.0,4,False
404,벽,404_벽,403,wi_dje_403,0A:29:D5:47:E3:10,5GHz,116,-75.2,-76.0,1.6431676725154982,5,False
404,벽,404_벽,404,wi_dje_404,06:29:D5:47:EF:E0,2.4GHz,1,-41.5,-41.0,1.0,4,True
404,벽,404_벽,404,wi_dje_404,0A:29:D5:47:EF:E0,5GHz,116,-45.2,-45.0,2.167948338867881,5,True
404,벽,404_벽,405,wi_dje_405,0A:29:D5:47:DF:20,5GHz,149,-72.4,-71.0,1.9493588689617931,5,False
404,복도,404_복도,401,wi_dje_401,0A:29:D5:47:E3:30,5GHz,149,-91.25,-92.0,1.5,4,False
404,복도,404_복도,402,wi_dje_402,0A:29:D5:47:E3:20,5GHz,52,-87.5,-87.0,1.7320508075688787,4,False
404,복도,404_복도,403,wi_dje_403,06:29:D5:47:E3:10,2.4GHz,1,-61.0,-61.0,0.0,2,False
404,복도,404_복도,403,wi_dje_403,0A:29:D5:47:E3:10,5GHz,116,-72.2,-73.0,2.2803508501982774,5,False
404,복도,404_복도,404,wi_dje_404,0A:29:D5:47:EF:E0,5GHz,116,-60.4,-61.0,1.5165750888103102,5,True
404,복도,404_복도,405,wi_dje_405,06:29:D5:47:DF:20,2.4GHz,1,-65.0,-65.0,0.0,3,False
404,복도,404_복도,405,wi_dje_405,0A:29:D5:47:DF:20,5GHz,149,-72.0,-72.0,2.1213203435596424,5,False
405,공유기,405_공유기,404,wi_dje_404,0A:29:D5:47:EF:E0,5GHz,116,-71.25,-71.0,0.4999999999999988,4,False
405,공유기,405_공유기,405,wi_dje_405,06:29:D5:47:DF:20,2.4GHz,1,-31.0,-31.0,,1,True
405,공유기,405_공유기,405,wi_dje_405,0A:29:D5:47:DF:20,5GHz,149,-33.5,-33.5,0.5773502691896247,4,True
405,문앞,405_문앞,205,wi_dje_205,06:29:D5:2B:31:10,2.4GHz,1,-66.66666666666667,-68.0,2.309401076758502,3,False
405,문앞,405_문앞,402,wi_dje_402,0A:29:D5:47:E3:20,5GHz,52,-88.0,-88.0,0.0,3,False
405,문앞,405_문앞,403,wi_dje_403,0A:29:D5:47:E3:10,5GHz,116,-78.0,-78.0,0.0,3,False
405,문앞,405_문앞,404,wi_dje_404,06:29:D5:47:EF:E0,2.4GHz,1,-63.0,-63.0,,1,False
405,문앞,405_문앞,404,wi_dje_404,0A:29:D5:47:EF:E0,5GHz,116,-71.33333333333333,-71.0,0.5773502691896247,3,False
405,문앞,405_문앞,405,wi_dje_405,06:29:D5:47:DF:20,2.4GHz,1,-43.333333333333336,-42.0,3.214550253664319,3,True
405,문앞,405_문앞,405,wi_dje_405,0A:29:D5:47:DF:20,5GHz,149,-52.666666666666664,-53.0,0.5773502691896247,3,True
405,벽,405_벽,404,wi_dje_404,06:29:D5:47:EF:E0,2.4GHz,1,-66.0,-66.0,,1,False
405,벽,405_벽,404,wi_dje_404,0A:29:D5:47:EF:E0,5GHz,116,-73.75,-73.5,0.9574271077563381,4,False
405,벽,405_벽,405,wi_dje_405,06:29:D5:47:DF:20,2.4GHz,1,-39.0,-38.5,1.4142135623730951,4,True
405,벽,405_벽,405,wi_dje_405,0A:29:D5:47:DF:20,5GHz,149,-45.75,-45.5,0.9574271077563381,4,True
405,복도,405_복도,401,wi_dje_401,0A:29:D5:47:E3:30,5GHz,149,-89.0,-89.0,0.0,4,False
405,복도,405_복도,402,wi_dje_402,0A:29:D5:47:E3:20,5GHz,52,-88.75,-89.0,3.774917217635373,4,False
405,복도,405_복도,403,wi_dje_403,0A:29:D5:47:E3:10,5GHz,116,-86.75,-86.0,2.217355782608344,4,False
405,복도,405_복도,404,wi_dje_404,0A:29:D5:47:EF:E0,5GHz,116,-70.0,-70.0,1.8257418583505545,4,False
405,복도,405_복도,405,wi_dje_405,06:29:D5:47:DF:20,2.4GHz,1,-53.0,-53.0,2.8284271247461903,2,True
405,복도,405_복도,405,wi_dje_405,0A:29:D5:47:DF:20,5GHz,149,-61.0,-60.0,2.708012801545321,4,True
405,복도,405_복도,406,wi_dje_406,0A:29:D5:47:E7:B0,5GHz,52,-90.0,-90.0,0.0,2,False
406,공유기,406_공유기,406,wi_dje_406,06:29:D5:47:E7:B0,2.4GHz,1,-26.0,-21.0,12.30853362509117,5,True
406,공유기,406_공유기,406,wi_dje_406,0A:29:D5:47:E7:B0,5GHz,52,-27.6,-28.0,0.5477225575051662,5,True
406,공유기,406_공유기,407,wi_dje_407,06:29:D5:47:E8:00,2.4GHz,11,-63.4,-63.0,0.5477225575051664,5,False
406,공유기,406_공유기,407,wi_dje_407,0A:29:D5:47:E8:00,5GHz,100,-75.6,-76.0,2.5099800796022262,5,False
406,문앞,406_문앞,402,wi_dje_402,0A:29:D5:47:E3:20,5GHz,52,-88.0,-88.0,0.0,2,False
406,문앞,406_문앞,404,wi_dje_404,0A:29:D5:47:EF:E0,5GHz,116,-88.0,-88.0,0.0,2,False
406,문앞,406_문앞,405,wi_dje_405,06:29:D5:47:DF:20,2.4GHz,1,-59.0,-59.0,,1,False
406,문앞,406_문앞,405,wi_dje_405,0A:29:D5:47:DF:20,5GHz,149,-89.0,-89.0,0.0,5,False
406,문앞,406_문앞,406,wi_dje_406,06:29:D5:47:E7:B0,2.4GHz,1,-50.8,-51.0,0.8366600265340753,5,True
406,문앞,406_문앞,406,wi_dje_406,0A:29:D5:47:E7:B0,5GHz,52,-57.2,-58.0,2.588435821108957,5,True
406,문앞,406_문앞,407,wi_dje_407,06:29:D5:47:E8:00,2.4GHz,11,-72.0,-72.0,0.0,5,False
406,문앞,406_문앞,407,wi_dje_407,0A:29:D5:47:E8:00,5GHz,100,-79.6,-79.0,2.0736441353327724,5,False
406,문앞,406_문앞,409,wi_dje_409,0A:29:D5:47:E8:10,5GHz,116,-92.0,-92.0,0.0,5,False
406,벽,406_벽,406,wi_dje_406,06:29:D5:47:E7:B0,2.4GHz,1,-43.0,-43.0,0.0,5,True
406,벽,406_벽,406,wi_dje_406,0A:29:D5:47:E7:B0,5GHz,52,-48.2,-48.0,1.6431676725154987,5,True
406,벽,406_벽,407,wi_dje_407,06:29:D5:47:E8:00,2.4GHz,11,-55.6,-55.0,1.816590212458495,5,False
406,벽,406_벽,407,wi_dje_407,0A:29:D5:47:E8:00,5GHz,100,-70.2,-70.0,0.8366600265340762,5,False
406,벽,406_벽,408,wi_dje_408,0A:29:D5:47:E8:20,5GHz,149,-89.0,-89.0,,1,False
406,복도,406_복도,405,wi_dje_405,0A:29:D5:47:DF:20,5GHz,149,-90.2,-91.0,1.7888543819998306,5,False
406,복도,406_복도,406,wi_dje_406,06:29:D5:47:E7:B0,2.4GHz,1,-40.6,-40.0,1.3416407864998738,5,True
406,복도,406_복도,406,wi_dje_406,0A:29:D5:47:E7:B0,5GHz,52,-57.4,-57.0,2.073644135332773,5,True
406,복도,406_복도,407,wi_dje_407,06:29:D5:47:E8:00,2.4GHz,11,-67.8,-68.0,2.0493901531919194,5,False
406,복도,406_복도,407,wi_dje_407,0A:29:D5:47:E8:00,5GHz,100,-73.0,-73.0,2.0,5,False
406,복도,406_복도,409,wi_dje_409,0A:29:D5:47:E8:10,5GHz,116,-88.5,-89.0,3.6968455021364703,4,False
407,공유기,407_공유기,406,wi_dje_406,06:29:D5:47:E7:B0,2.4GHz,1,-63.0,-63.0,,1,False
407,공유기,407_공유기,406,wi_dje_406,0A:29:D5:47:E7:B0,5GHz,52,-69.8,-69.0,2.5884358211089573,5,False
407,공유기,407_공유기,407,wi_dje_407,06:29:D5:47:E8:00,2.4GHz,11,-30.0,-30.0,,1,True
407,공유기,407_공유기,407,wi_dje_407,0A:29:D5:47:E8:00,5GHz,100,-33.4,-33.0,2.302172886644268,5,True
407,공유기,407_공유기,408,wi_dje_408,0A:29:D5:47:E8:20,5GHz,149,-76.4,-77.0,1.9493588689617916,5,False
407,문앞,407_문앞,405,wi_dje_405,0A:29:D5:47:DF:20,5GHz,149,-90.0,-90.0,0.0,2,False
407,문앞,407_문앞,406,wi_dje_406,06:29:D5:47:E7:B0,2.4GHz,1,-59.0,-59.0,0.0,5,False
407,문앞,407_문앞,406,wi_dje_406,0A:29:D5:47:E7:B0,5GHz,52,-69.2,-69.0,1.7888543819998322,5,False
407,문앞,407_문앞,407,wi_dje_407,06:29:D5:47:E8:00,2.4GHz,11,-53.0,-53.0,0.0,5,True
407,문앞,407_문앞,407,wi_dje_407,0A:29:D5:47:E8:00,5GHz,100,-56.25,-56.5,1.707825127659933,4,True
407,문앞,407_문앞,408,wi_dje_408,0A:29:D5:47:E8:20,5GHz,149,-79.8,-80.0,0.8366600265340751,5,False
407,문앞,407_문앞,409,wi_dje_409,0A:29:D5:47:E8:10,5GHz,116,-91.0,-91.0,0.0,5,False
407,벽,407_벽,406,wi_dje_406,06:29:D5:47:E7:B0,2.4GHz,1,-67.0,-67.0,,1,False
407,벽,407_벽,406,wi_dje_406,0A:29:D5:47:E7:B0,5GHz,52,-75.4,-74.0,1.949358868961792,5,False
407,벽,407_벽,407,wi_dje_407,06:29:D5:47:E8:00,2.4GHz,11,-41.6,-41.0,3.286335345030997,5,True
407,벽,407_벽,407,wi_dje_407,0A:29:D5:47:E8:00,5GHz,100,-45.0,-45.0,2.121320343559643,5,True
407,벽,407_벽,408,wi_dje_408,0A:29:D5:47:E8:20,5GHz,149,-70.8,-71.0,2.588435821108957,5,False
407,복도,407_복도,406,wi_dje_406,0A:29:D5:47:E7:B0,5GHz,52,-71.6,-72.0,1.673320053068152,5,False
407,복도,407_복도,407,wi_dje_407,06:29:D5:47:E8:00,2.4GHz,11,-53.0,-52.0,2.2360679774997894,5,True
407,복도,407_복도,407,wi_dje_407,0A:29:D5:47:E8:00,5GHz,100,-58.8,-59.0,1.9235384061671343,5,True
407,복도,407_복도,408,wi_dje_408,0A:29:D5:47:E8:20,5GHz,149,-74.2,-74.0,1.923538406167134,5,False
407,복도,407_복도,409,wi_dje_409,0A:29:D5:47:E8:10,5GHz,116,-87.6,-87.0,0.8944271909999157,5,False
408,공유기,408_공유기,406,wi_dje_406,0A:29:D5:47:E7:B0,5GHz,52,-93.75,-94.0,0.4999999999999988,4,False
408,공유기,408_공유기,407,wi_dje_407,06:29:D5:47:E8:00,2.4GHz,11,-61.0,-62.0,2.6457513110645907,3,False
408,공유기,408_공유기,407,wi_dje_407,0A:29:D5:47:E8:00,5GHz,100,-71.25,-70.5,1.892969448600092,4,False
408,공유기,408_공유기,408,wi_dje_408,06:29:D5:47:E8:20,2.4GHz,1,-24.0,-24.0,0.0,4,True
408,공유기,408_공유기,409,wi_dje_409,0A:29:D5:47:E8:10,5GHz,116,-88.0,-88.0,0.8164965809277246,4,False
408,문앞,408_문앞,406,wi_dje_406,0A:29:D5:47:E7:B0,5GHz,52,-90.0,-91.0,5.033222956847166,4,False
408,문앞,408_문앞,407,wi_dje_407,06:29:D5:47:E8:00,2.4GHz,11,-58.0,-62.0,7.999999999999999,4,False
408,문앞,408_문앞,407,wi_dje_407,0A:29:D5:47:E8:00,5GHz,100,-68.0,-67.5,2.160246899469287,4,False
408,문앞,408_문앞,408,wi_dje_408,06:29:D5:47:E8:20,2.4GHz,1,-52.0,-52.0,0.0,4,True
408,문앞,408_문앞,408,wi_dje_408,0A:29:D5:47:E8:20,5GHz,149,-54.75,-55.0,2.2173557826083448,4,True
408,문앞,408_문앞,409,wi_dje_409,0A:29:D5:47:E8:10,5GHz,116,-90.5,-90.0,1.9148542155126762,4,False
408,벽,408_벽,406,wi_dje_406,0A:29:D5:47:E7:B0,5GHz,52,-93.5,-93.5,0.7071067811865476,2,False
